USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
jinurung         74347   0.0  0.8 1624199344  65280   ??  S    금09PM   6:01.59 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=42 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1140645423321 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=129
jinurung         74015   0.0  0.2 444192704  14048   ??  S    금08PM   0:18.43 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Plugin).app/Contents/MacOS/Google Chrome Helper (Plugin) --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=ko --service-sandbox-type=none --message-loop-type-ui --no-subproc-heap-profiling --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000
jinurung         74014   0.0  0.1 444332976  11712   ??  S    금08PM   9:24.61 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=ko --service-sandbox-type=audio --message-loop-type-ui --no-subproc-heap-profiling --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=212
jinurung         73995   0.0  0.8 1623979120  68000   ??  S    금08PM   0:36.39 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1137755682278 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=164
jinurung         73994   0.0  0.3 1622066016  28240   ??  S    금08PM   0:29.22 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=15 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1137755680565 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=164
jinurung         73992   0.0  0.1 1622009280  10208   ??  S    금08PM   0:04.20 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=23 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1137753222368 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=162
jinurung         73981   0.0  0.3 1622043008  28704   ??  S    금08PM   0:10.78 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=19 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1137751232819 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=104
jinurung         73977   0.0  0.8 1621993296  70896   ??  S    금08PM  14:22.25 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1137751111855 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=97
jinurung         73976   0.0  0.2 1621981056  15744   ??  S    금08PM   0:05.39 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=ElementCapture --no-subproc-heap-profiling --lang=ko --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=8 --time-ticks-at-unix-epoch=-1722065473901159 --launch-time-ticks=1137751111243 --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=97
jinurung         73972   0.0  0.2 444171344  16656   ??  S    금08PM   0:29.72 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=ko --service-sandbox-type=service --no-subproc-heap-profiling --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=46
jinurung         73971   0.0  0.8 444630256  64512   ??  S    금08PM  48:48.07 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ko --service-sandbox-type=network --no-subproc-heap-profiling --shared-files --field-trial-handle=1718379636,r,2770165705861921905,4336344670829095574,262144 --variations-seed-version=20240808-180127.171000 --seatbelt-client=17
jinurung         73965   0.0  0.0 443719808   2688   ??  S    금08PM   0:00.26 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/127.0.6533.100/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/jinurung/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=127.0.6533.100 --handshake-fd=5
jinurung         73960   0.0  3.4 445190544 282112   ??  S    금08PM  82:42.43 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome --origin-trial-disabled-features=ElementCapture --restart --restart
root             35760   0.0  0.1 410200288   5232   ??  SNs  금10AM   0:02.94 /usr/libexec/warmd
root              9573   0.0  0.0 410363952   3648   ??  Ss   목04PM   0:19.01 /usr/libexec/aned
root               154   0.0  0.0 410331152   3088   ??  Ss   목10AM   0:06.33 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
jinurung         70010   0.0  0.1 410373504  10048   ??  S     7 824    3:21.28 /usr/libexec/trustd --agent
_trustd          70009   0.0  0.1 410372896   9744   ??  Ss    7 824    4:30.20 /usr/libexec/trustd
jinurung         55595   0.0  0.7 412690208  57536   ??  S     7 824    6:06.73 /Applications/KakaoTalk.app/Contents/MacOS/KakaoTalk
root             12441   0.0  0.0 410364640   2544   ??  Ss    6 824    0:01.38 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
root              4177   0.0  0.1 410364368   5504   ??  Ss    6 824    0:50.25 /usr/libexec/ApplicationFirewall/socketfilterfw
jinurung         98629   0.0  0.1 411863648   4896   ??  S     5 824    0:06.82 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
jinurung         34449   0.0  0.0 410363968   2816   ??  S    31 724    0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
root             94507   0.0  0.9 413730400  73024   ??  Ss   30 724   26:45.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
root             94505   0.0  0.2 410761760  20368   ??  Ss   30 724   40:20.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
jinurung         94406   0.0  0.1 411445632   6240   ??  S    30 724    7:33.37 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged
jinurung         63364   0.0  0.1 410364336   6816   ??  S    30 724    0:05.03 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
_diskimagesiod   38038   0.0  0.0 410372864   2176   ??  Ss   24 724    0:25.64 /usr/libexec/diskimagesiod
jinurung         38009   0.0  0.1 410487424   5216   ??  S    24 724    0:14.33 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
jinurung         37950   0.0  0.0 410659600   1136   ??  S    24 724    0:00.44 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimLaunchHost.arm64.xpc/Contents/MacOS/SimLaunchHost.arm64
root             37947   0.0  0.0 410693152   3328   ??  Ss   24 724    0:00.89 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Resources/bin/simdiskimaged
_diskimagesiod   37814   0.0  0.0 410372864   2176   ??  Ss   24 724    0:01.70 /usr/libexec/diskimagesiod
jinurung         85914   0.0  0.1 410371008   9136   ??  S    20 724    0:28.37 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
_driverkit       84137   0.0  0.0 410596048    128   ??  Ss   20 724    0:00.45 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x10001c6ce com.apple.IOUserBluetoothSerialDriver
root             84135   0.0  0.3 410496176  24928   ??  Ss   20 724   84:02.86 /usr/sbin/bluetoothd
root             64772   0.0  0.0 410200112   1936   ??  Ss   17 724    0:00.35 /usr/libexec/taskgated
jinurung         78864   0.0  0.1 410369728   7472   ??  S    14 724    0:06.16 /usr/libexec/appleaccountd
_assetcache      77918   0.0  0.0 410266656   1296   ??  S    14 724    0:25.33 /usr/sbin/distnoted agent
jinurung         77657   0.0  0.2 410572640  20768   ??  S    14 724   20:57.67 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
jinurung         73820   0.0  0.0 410294304   1952   ??  S    10 724    0:00.10 /usr/libexec/USBAgent
jinurung         73782   0.0  0.1 410453968   7248   ??  S    10 724    0:22.41 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
_audiomxd        71458   0.0  0.0 410266656   1264   ??  S     9 724    0:26.30 /usr/sbin/distnoted agent
root             53405   0.0  0.0 410323152    928   ??  Ss   28 624    0:00.12 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
jinurung         43243   0.0  0.0 410163424   2272   ??  S    24 624    0:00.17 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
jinurung         38598   0.0  0.2 410374336  13904   ??  S    21 624   27:39.13 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
_diskimagesiod    4940   0.0  0.0 410373888   2048   ??  Ss   21 624    7:14.88 /usr/libexec/diskimagesiod
_diskimagesiod    4931   0.0  0.0 410371840   2048   ??  Ss   21 624    5:29.56 /usr/libexec/diskimagesiod
jinurung          4796   0.0  0.1 410471280   6736   ??  S    21 624    0:36.37 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
root              4020   0.0  0.0 410200144   2448   ??  Ss   20 624    0:00.22 /System/Library/CoreServices/Applications/Feedback Assistant.app/Contents/Library/LaunchServices/fbahelperd
jinurung          4016   0.0  0.0 410163216   1408   ??  S    20 624    0:00.05 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
_neuralengine     3760   0.0  0.0 410266656   1248   ??  S    20 624    0:33.71 /usr/sbin/distnoted agent
root              3559   0.0  0.0 410163424   1936   ??  Ss   20 624    0:34.56 /usr/libexec/logd_reporter
jinurung          3477   0.0  0.1 410327280   4672   ??  S    20 624    0:02.36 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
jinurung          3424   0.0  0.1 410331248   4784   ??  S    20 624    0:06.41 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
_rmd              3380   0.0  0.0 410266656   1232   ??  S    20 624    0:33.66 /usr/sbin/distnoted agent
root              3369   0.0  0.0 410365584   3664   ??  Ss   20 624    0:00.45 /System/Library/CoreServices/sharedfilelistd
root              3213   0.0  0.0 410293760   2128   ??  Ss   20 624    0:00.25 /System/Library/CoreServices/CrashReporterSupportHelper server-init
_fpsd             3181   0.0  0.1 410349728  12128   ??  Ss   20 624    0:18.58 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
jinurung          2869   0.0  0.2 411022560  17376   ??  Ss   20 624    5:09.15 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
jinurung          2858   0.0  0.0 410363424   3120   ??  S    20 624    0:01.82 /System/Library/Image Capture/Support/icdd
jinurung          2868   0.0  0.1 411530704  11200   ??  S    20 624   14:46.50 /Applications/Magnet.app/Contents/MacOS/Magnet
jinurung          2864   0.0  0.1 411853872   9184   ??  S    20 624    1:07.86 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
jinurung          2863   0.0  0.1 411104384   4288   ??  S    20 624    0:14.38 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
jinurung          2832   0.0  0.1 410373808   9120   ??  S    20 624    0:04.28 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
jinurung          2782   0.0  0.0 410372624   3520   ??  S    20 624    0:08.30 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
root              2781   0.0  0.0 410201328   1808   ??  Ss   20 624    0:00.65 automountd
jinurung          2776   0.0  0.2 412483312  15328   ??  S    20 624    2:47.05 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
jinurung          2774   0.0  0.4 413045840  36688   ??  S    20 624   18:39.71 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
jinurung          2771   0.0  0.9 412560144  74352   ??  R    20 624   29:53.72 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
jinurung          2770   0.0  0.1 411604736   4560   ??  S    20 624    0:27.06 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
jinurung          2769   0.0  0.3 412910112  23952   ??  S    20 624    7:58.35 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
jinurung          2762   0.0  0.1 410381680   7040   ??  S    20 624    1:36.12 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
jinurung          2757   0.0  0.0 410330768   2544   ??  S    20 624    0:01.72 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
root              2754   0.0  0.0 410330736   2000   ??  Ss   20 624    0:01.68 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
jinurung          2737   0.0  0.0 411012480   3264   ??  Ss   20 624    0:19.65 /System/Library/ExtensionKit/Extensions/WallpaperDynamicExtension.appex/Contents/MacOS/WallpaperDynamicExtension
jinurung          2597   0.0  0.1 410329216   7760   ??  S    20 624    0:47.73 /System/Library/CoreServices/diagnostics_agent
jinurung          2659   0.0  0.0 410400416   2768   ??  S    20 624    0:01.76 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
jinurung          2654   0.0  0.1 410365152   6752   ??  S    20 624    4:36.05 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
jinurung          2653   0.0  0.1 410498144   8640   ??  S    20 624    2:08.44 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
jinurung          2620   0.0  0.1 410425312  10448   ??  Ss   20 624    0:47.11 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("ko-KR", "en-KR")
jinurung          2616   0.0  0.2 414990144  12912   ??  S    20 624    3:46.46 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
jinurung          2618   0.0  0.1 410441840   8848   ??  Ss   20 624    2:13.44 /System/Library/Input Methods/KoreanIM.app/Contents/PlugIns/KIM_Extension.appex/Contents/MacOS/KIM_Extension -AppleLanguages ("ko-KR", "en-KR")
jinurung          2599   0.0  0.0 410364064   3072   ??  S    20 624    0:01.17 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
jinurung          2594   0.0  0.1 411391520   6832   ??  S    20 624    0:49.40 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
jinurung          2501   0.0  0.1 410368720   7424   ??  S    20 624    0:36.88 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
jinurung          2467   0.0  0.1 410349408   9600   ??  SN   20 624    5:17.60 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
jinurung          2338   0.0  0.3 411445408  23824   ??  S    20 624    6:55.46 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
jinurung          2352   0.0  0.0 410356992   3024   ??  S    20 624    0:01.77 /usr/libexec/seserviced
jinurung          2350   0.0  0.2 410402384  14080   ??  S    20 624   10:33.47 /usr/libexec/searchpartyuseragent
_appinstalld      2348   0.0  0.0 410266656   1216   ??  S    20 624    0:33.84 /usr/sbin/distnoted agent
jinurung          2339   0.0  0.1 410366896   4624   ??  S    20 624    0:14.45 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
jinurung          2337   0.0  0.1 411390016   5648   ??  S    20 624    0:35.67 /usr/libexec/avconferenced
jinurung          2333   0.0  0.0 410199536   1760   ??  S    20 624    0:15.61 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
jinurung          2332   0.0  0.1 410365136   7408   ??  S    20 624    1:51.35 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
_appleevents      2329   0.0  0.0 410266656   1232   ??  S    20 624    0:33.81 /usr/sbin/distnoted agent
jinurung          2327   0.0  0.2 411774352  19280   ??  S    20 624   27:31.94 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
jinurung          2307   0.0  0.2 410375520  18064   ??  S    20 624    6:56.62 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
_nearbyd          2305   0.0  0.1 410373088   8048   ??  Ss   20 624   26:47.40 /usr/libexec/nearbyd
jinurung          2303   0.0  0.2 412243664  20752   ??  S    20 624    9:35.59 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
_applepay         2289   0.0  0.0 410266656   1232   ??  S    20 624    0:33.51 /usr/sbin/distnoted agent
jinurung          2263   0.0  0.5 412172400  44192   ??  S    20 624   25:03.36 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
_gamecontrollerd  2256   0.0  0.0 410266656   1248   ??  S    20 624    0:34.16 /usr/sbin/distnoted agent
jinurung          2246   0.0  0.1 410368848  10608   ??  S    20 624    4:56.89 /usr/libexec/ContinuityCaptureAgent server
jinurung          2197   0.0  0.2 410636992  17712   ??  S    20 624   23:15.59 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
jinurung          2202   0.0  0.1 410365888   7408   ??  S    20 624    0:51.51 /System/Library/CoreServices/sharedfilelistd
jinurung          2196   0.0  0.1 410376752  10096   ??  S    20 624    0:46.37 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
jinurung          2193   0.0  0.3 410429168  23312   ??  S    20 624   34:55.21 /usr/libexec/sharingd
root              2192   0.0  0.1 410363600   5968   ??  Ss   20 624    0:54.90 /usr/sbin/filecoordinationd
jinurung          2191   0.0  0.1 411748048   6368   ??  S    20 624    0:22.22 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
root              2189   0.0  0.1 410364800   5888   ??  Ss   20 624    0:05.44 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
_ctkd             2183   0.0  0.0 410331328   2240   ??  Ss   20 624    0:00.55 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
jinurung          2178   0.0  0.1 410404576  12320   ??  S    20 624   10:31.65 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
jinurung          2165   0.0  0.3 410428640  21728   ??  S    20 624   11:33.89 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
jinurung          2166   0.0  0.2 410400192  19264   ??  S    20 624    4:50.32 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
jinurung          2149   0.0  0.1 410364320   5232   ??  S    20 624    4:02.36 /System/Library/CoreServices/lockoutagent
jinurung          2145   0.0  0.1 410410544  11856   ??  S    20 624   17:01.34 /usr/libexec/nsurlsessiond
jinurung          2147   0.0  0.1 410376848  11424   ??  S    20 624    1:10.29 /usr/sbin/usernoted
jinurung          2146   0.0  0.2 410368832  14000   ??  S    20 624   14:58.62 /usr/libexec/rapportd
jinurung          2141   0.0  0.2 410386368  14368   ??  S    20 624    2:36.70 /usr/libexec/lsd
jinurung          2138   0.0  0.0 410363616   4128   ??  S    20 624    0:54.31 /usr/libexec/pboard
jinurung          2131   0.0  0.1 410367056   8576   ??  S    20 624    7:39.85 /usr/libexec/UserEventAgent (Aqua)
jinurung          2136   0.0  0.1 410973936   5552   ??  S    20 624    0:45.92 /usr/sbin/universalaccessd launchd -s
jinurung          2127   0.0  0.2 410617280  14800   ??  S    20 624    9:23.77 /usr/libexec/secd
jinurung          2101   0.0  0.1 410332928   4944   ??  S    20 624   11:51.41 /usr/sbin/cfprefsd agent
root              2102   0.0  0.0 410323088    992   ??  Ss   20 624    0:00.10 /usr/libexec/securityd_service
root              2100   0.0  0.1 410364592   5952   ??  Ss   20 624    0:05.92 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
root              2060   0.0  0.1 410348240   5824   ??  Ss   20 624    0:22.64 /System/Library/CoreServices/SubmitDiagInfo server-init
_oahd             2075   0.0  0.0 410200304    928   ??  Ss   20 624    0:03.23 /usr/libexec/rosetta/oahd
jinurung          2063   0.0  0.0 410266656   4080   ??  S    20 624   12:13.04 /usr/sbin/distnoted agent
_spotlight        2055   0.0  0.0 410328944   3424   ??  SN   20 624    3:18.24 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
_spotlight        2046   0.0  0.0 410266656   1360   ??  S    20 624    0:34.20 /usr/sbin/distnoted agent
root              2043   0.0  0.1 410374832  11104   ??  Ss   20 624    5:44.89 /usr/libexec/gamepolicyd
_nsurlsessiond    2041   0.0  0.0 410266656   1232   ??  S    20 624    0:34.33 /usr/sbin/distnoted agent
_appleevents      2038   0.0  0.1 410363968   4400   ??  Ss   20 624    0:23.56 /System/Library/CoreServices/appleeventsd --server
_locationd        2036   0.0  0.2 410421264  19056   ??  Ss   20 624   62:15.40 /usr/libexec/locationd
root              2035   0.0  0.0 410197104   2432   ??  S    20 624    0:09.73 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
_accessoryupdater  2029   0.0  0.0 410266656   1248   ??  S    20 624    0:35.06 /usr/sbin/distnoted agent
_cmiodalassistants  1989   0.0  0.0 410365072   2768   ??  Ss   20 624    0:04.11 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
_cmiodalassistants  1988   0.0  0.0 411215152   3056   ??  Ss   20 624    0:02.20 /usr/libexec/cameracaptured
_cmiodalassistants  1987   0.0  0.0 410367600   3936   ??  Ss   20 624    1:35.66 /usr/sbin/appleh13camerad
root              1986   0.0  0.2 410395392  14992   ??  Ss   20 624  103:21.21 /usr/libexec/searchpartyd
_driverkit        1985   0.0  0.0 410626896    176   ??  Ss   20 624    3:53.92 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000c99 com.apple.AppleUserHIDDrivers
_driverkit        1984   0.0  0.0 410593920    112   ??  Ss   20 624    0:01.03 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000c98 com.apple.DriverKit-IOUserDockChannelSerial
root              1981   0.0  0.1 410375376   5712   ??  Ss   20 624    5:20.24 /usr/libexec/wifianalyticsd
_locationd        1975   0.0  0.0 410266656   1232   ??  S    20 624    0:35.32 /usr/sbin/distnoted agent
root              1973   0.0  0.2 410678384  16416   ??  Ss   20 624   33:48.32 /usr/libexec/syspolicyd
root              1927   0.0  0.0 410232992   2832   ??  Ss   20 624    0:04.56 /usr/libexec/eligibilityd
_softwareupdate   1928   0.0  0.0 410266656   1472   ??  S    20 624    0:35.98 /usr/sbin/distnoted agent
_cmiodalassistants  1907   0.0  0.0 410266656   1424   ??  S    20 624    0:38.02 /usr/sbin/distnoted agent
root              1900   0.0  0.0 410791456   3536   ??  Ss   20 624   22:55.78 /usr/libexec/audioclocksyncd
_networkd         1896   0.0  0.1 410368576  10496   ??  Ss   20 624    9:20.01 /usr/libexec/symptomsd
root              1888   0.0  0.0 410372944   3840   ??  Ss   20 624    1:13.10 /usr/libexec/storagekitd
root              1886   0.0  0.0 410363792   2240   ??  Ss   20 624    0:56.09 /usr/sbin/mDNSResponderHelper
